dataset,avg_psnr,avg_ssim,num_images
Rain100L,33.50320494541621,0.9480933028459549,100
Rain100H,27.697592857891742,0.8501181840896607,100
Test100,26.957798678453994,0.8489059732884777,98
Test1200,30.829285967202487,0.8771987194692095,1200
Test2800,31.508483372136023,0.9202873201242515,2800
