filename,psnr,ssim
1.png,32.150528365380325,0.9219248
2.png,30.32929272041069,0.7892256
3.png,24.15137131468657,0.83539444
4.png,29.919769827430294,0.94312286
5.png,29.151725488971984,0.8509305
6.png,27.491485149010177,0.85516745
7.png,23.800566773672376,0.80256635
8.png,29.529894030011267,0.8869536
9.png,25.19207745191601,0.79409456
10.png,31.74686521580064,0.93118936
11.png,29.668020217050874,0.8849378
12.png,28.97475801522299,0.86880946
13.png,33.68763976793388,0.9289742
14.png,28.475335292698247,0.8536114
15.png,35.77252264905477,0.9488953
16.png,24.926108366336372,0.8475862
17.png,30.41993493556201,0.8629131
18.png,25.397227505987914,0.8332657
19.png,22.56340630482365,0.69201565
20.png,29.576090893670237,0.8914578
21.png,27.798215309617103,0.70791954
22.png,29.564450996733544,0.88902205
23.png,28.58842476461083,0.8982523
24.png,29.931092028466818,0.9037544
25.png,29.550123926716537,0.8960821
26.png,25.461338220081675,0.88499004
27.png,30.03836408492547,0.8933616
28.png,24.832520400060147,0.8893158
29.png,30.595336912374403,0.80910295
30.png,30.777827126946665,0.9081914
31.png,23.914979560616196,0.7599433
32.png,31.906909109090535,0.896516
33.png,33.26344522736966,0.94500047
34.png,28.938993090732716,0.8658276
35.png,30.341021374428742,0.8845195
36.png,29.490782741587328,0.89247394
37.png,20.72028266625686,0.6999286
38.png,24.834480107087543,0.7676799
39.png,26.332192601791032,0.8633812
40.png,28.43427793765814,0.8931306
41.png,27.14128037241646,0.8888306
42.png,22.842119543297017,0.74867225
43.png,28.655765359062443,0.88786334
44.png,30.267626267806147,0.9354119
45.png,27.312632524812187,0.88507944
46.png,27.12018432444161,0.9029536
47.png,30.042715438283164,0.8875003
48.png,30.909002246912053,0.88826305
49.png,27.328738185219066,0.80170614
50.png,34.02759190787718,0.91782063
51.png,26.52367856555168,0.8705124
52.png,25.30843146523749,0.7346613
53.png,23.739665508271685,0.7646985
54.png,29.887732371939883,0.90757585
55.png,20.234779926000463,0.715293
56.png,27.672820077023054,0.8456056
57.png,27.541520177208344,0.86199576
58.png,20.87760584718021,0.6572722
59.png,21.39750171314972,0.73451567
60.png,32.56911699602741,0.9306474
61.png,26.85919219768188,0.82944554
62.png,26.489270975751683,0.82762575
63.png,27.191338963337355,0.8994136
64.png,28.326502337338717,0.88466674
65.png,24.27979401379551,0.8437264
66.png,27.926958471029558,0.8189781
67.png,21.066249425115124,0.64144945
68.png,25.303732893515928,0.82841843
69.png,27.383012801449226,0.8561058
70.png,26.821584057009336,0.8839728
71.png,28.008632953727638,0.881115
72.png,31.73054743832499,0.91973615
73.png,27.212408104445366,0.82683605
74.png,29.978757016123257,0.89436895
75.png,29.209377416197828,0.9162631
76.png,32.57503150076414,0.9269254
77.png,25.0102769359492,0.8207539
78.png,28.47061171184256,0.90155405
79.png,28.794446061076986,0.8361376
80.png,30.855306899074808,0.8882337
81.png,26.13089924851775,0.8960252
82.png,24.04094584262723,0.84179926
83.png,28.17056226160256,0.8224118
84.png,27.987272521505844,0.90903926
85.png,25.44018263210714,0.93002576
86.png,27.367662427396297,0.90298754
87.png,27.432167182716626,0.86365056
88.png,28.743229704573086,0.8862273
89.png,30.31287537680731,0.89779854
90.png,22.855827845344997,0.7612915
91.png,26.57867855274642,0.8016841
92.png,22.326952164656042,0.76642686
93.png,25.3286314448461,0.8713358
94.png,27.180695413831046,0.71784383
95.png,29.977169671856085,0.697933
96.png,26.333722246822994,0.8291616
97.png,30.68108495759525,0.9274006
98.png,31.096217933035216,0.8509512
99.png,21.389531708169493,0.73030347
100.png,27.251757188364127,0.8434863
