filename,psnr,ssim
1.png,35.07377032013303,0.95824957
2.png,35.01078640309779,0.9159062
3.png,35.93313107147054,0.982048
4.png,36.57362680448451,0.98235244
5.png,28.89950059955098,0.9102966
6.png,32.90352073928537,0.9438791
7.png,29.44960730066262,0.9100113
8.png,33.87505252147079,0.95245
9.png,32.55497465386769,0.9633494
10.png,35.709366867515264,0.96001124
11.png,36.79100909001627,0.9581458
12.png,30.215705424968085,0.93067557
13.png,30.650776713281154,0.937212
14.png,32.24312550981751,0.93142384
15.png,29.981927618808196,0.9467635
16.png,30.465432977514837,0.9328154
17.png,35.29749590458111,0.9580061
18.png,35.33250335661866,0.93280077
19.png,25.594912811831723,0.89826053
20.png,33.85984642125419,0.95802814
21.png,34.32063064819965,0.96321803
22.png,30.050565872248963,0.9260226
23.png,36.060151947038214,0.96267956
24.png,23.478843833233224,0.8858008
25.png,31.248879164372475,0.9288195
26.png,32.97506879671859,0.968162
27.png,35.1448996111356,0.95339465
28.png,21.661741713413555,0.8795712
29.png,36.50308874515894,0.9474624
30.png,35.45984783957904,0.9597911
31.png,35.5406072726815,0.9748722
32.png,36.34276320256235,0.94982785
33.png,35.677992487030934,0.96124226
34.png,30.217694384805167,0.91862327
35.png,27.31803988222179,0.8857567
36.png,35.342139075704424,0.9564559
37.png,34.38749072827366,0.95815665
38.png,34.04459873579303,0.96847606
39.png,34.61192696255126,0.9665158
40.png,35.85680886746331,0.9565654
41.png,29.26005772942103,0.9349289
42.png,31.100521424302823,0.93761176
43.png,37.004722255663964,0.96195793
44.png,35.654184790604695,0.97809774
45.png,34.71088471498223,0.97341806
46.png,33.679112517171504,0.9683301
47.png,33.65960067242224,0.9516816
48.png,33.55427464951474,0.94231004
49.png,33.93575076554615,0.9592449
50.png,37.638940129348356,0.9477391
51.png,30.218085095434148,0.94236284
52.png,34.990065447623955,0.94436806
53.png,31.580135953964046,0.93411523
54.png,37.449786795790224,0.9723687
55.png,30.37971131310789,0.9499915
56.png,31.53006619824236,0.9301184
57.png,32.37213360456248,0.95063543
58.png,32.37742304476416,0.9494141
59.png,31.46842270588808,0.95970535
60.png,40.78968523274508,0.9795944
61.png,31.300544066237865,0.9241294
62.png,31.140130692928842,0.9389364
63.png,29.895215828975147,0.94336337
64.png,36.335624975533136,0.9624419
65.png,23.089650557573766,0.8599213
66.png,35.62940529751616,0.9293833
67.png,32.6130086661547,0.961801
68.png,35.28881451024941,0.9552067
69.png,36.414786226441166,0.96076363
70.png,34.76018700411294,0.96107846
71.png,33.636993961882766,0.94764996
72.png,41.530525783525015,0.977935
73.png,33.46321906471897,0.94616276
74.png,37.64159046396455,0.9758331
75.png,32.964312124221834,0.9585802
76.png,28.337026934881948,0.911787
77.png,32.75354159807315,0.9630061
78.png,39.78711964061232,0.950664
79.png,37.93030389991201,0.9487532
80.png,38.479771922944344,0.96852475
81.png,36.234737682246674,0.9841195
82.png,33.55470608373113,0.9715958
83.png,36.92507575613917,0.95400935
84.png,27.631339916527473,0.915443
85.png,33.558671566532425,0.98594785
86.png,35.23850135780079,0.97061586
87.png,33.91075510695517,0.94854325
88.png,33.838959057662805,0.9477013
89.png,38.41830918142115,0.95283747
90.png,37.292102216787455,0.9752548
91.png,35.70210836635103,0.96037817
92.png,31.98933217646436,0.97172403
93.png,32.32095071805568,0.97117156
94.png,34.06531204071216,0.9227855
95.png,32.33505512474365,0.8540759
96.png,36.210962418924126,0.95504785
97.png,33.398647952401404,0.9539151
98.png,37.99587368809418,0.9594137
99.png,29.48129893845513,0.95987004
100.png,31.21260404963856,0.9468654
