filename,psnr,ssim
1.png,34.96454619305031,0.9590947
2.png,34.97067183968082,0.9304323
3.png,37.22597720870055,0.98459405
4.png,37.43672033151857,0.9854524
5.png,27.215771477849337,0.88630015
6.png,32.67983653313899,0.9462574
7.png,28.049753953240234,0.8837903
8.png,34.00099054876098,0.95178765
9.png,33.19580269287733,0.96477145
10.png,35.26901886555185,0.96198887
11.png,36.42898176046565,0.9561591
12.png,32.483913423401944,0.94485974
13.png,24.58436150152211,0.8572233
14.png,36.40488359253545,0.95215064
15.png,22.304090053811755,0.7871421
16.png,30.763224223286045,0.93838364
17.png,35.608763965294806,0.96585137
18.png,31.82936749223122,0.8947062
19.png,27.95179873742314,0.9164362
20.png,33.30276859430332,0.95215434
21.png,35.40670068224901,0.9665411
22.png,33.086729997381696,0.9460926
23.png,35.9766841876444,0.965916
24.png,25.241227732739887,0.89170426
25.png,31.099838854677767,0.9278422
26.png,33.2697172227025,0.97076416
27.png,34.70817914083447,0.9545937
28.png,22.99005574750991,0.89474696
29.png,33.56921823132567,0.9261482
30.png,35.71588235441135,0.9647818
31.png,35.560919823682205,0.97855526
32.png,36.787012901957404,0.956235
33.png,33.14167748595796,0.9387207
34.png,31.064588100636776,0.9294706
35.png,26.342585541714527,0.8544543
36.png,34.343599090281394,0.9566929
37.png,34.311857996130634,0.95787525
38.png,33.135919152277474,0.96848655
39.png,34.26907056420307,0.9656574
40.png,35.83170085084157,0.9610734
41.png,27.794790902118038,0.91708213
42.png,31.27649136728959,0.9326415
43.png,36.5588102509254,0.9591511
44.png,35.36092522348346,0.97711724
45.png,33.452352989822515,0.9658377
46.png,33.40329832354979,0.9732986
47.png,33.26298344141175,0.9433804
48.png,35.512464756282924,0.9459412
49.png,33.86732802439363,0.96256566
50.png,37.67486563211685,0.9507831
51.png,29.863754899569926,0.94058275
52.png,34.74005830471852,0.94984907
53.png,31.8927694581531,0.9311659
54.png,35.03021982449086,0.96573764
55.png,29.68740064372058,0.94662905
56.png,32.264325624524524,0.9325246
57.png,32.01407957795433,0.94943756
58.png,31.69473812626069,0.9444046
59.png,31.685609955061203,0.9606517
60.png,41.680546163842614,0.98121595
61.png,31.40006195244462,0.9244887
62.png,32.07941021429771,0.9415472
63.png,31.128546942024773,0.9460375
64.png,36.87689411805762,0.9647865
65.png,22.07413196209756,0.83636236
66.png,36.34769762465906,0.9385162
67.png,31.237537582491555,0.95625687
68.png,34.704284467807646,0.9561855
69.png,35.78073373272248,0.96318793
70.png,35.564556793549606,0.9639898
71.png,32.834494091640344,0.94486743
72.png,39.78631343973448,0.97608495
73.png,32.453965736531465,0.9399256
74.png,36.1771774483183,0.9731013
75.png,32.66818464487357,0.95611763
76.png,32.10807039491953,0.93670464
77.png,34.79446965116077,0.9681587
78.png,39.98300418709683,0.954191
79.png,38.12109229023387,0.95398885
80.png,36.953647957991635,0.9597368
81.png,33.87073218000049,0.9760186
82.png,32.58271499751322,0.973207
83.png,38.2383047663013,0.96014804
84.png,28.963360344765018,0.92435783
85.png,33.63110510312636,0.98435324
86.png,35.04653678136619,0.97120214
87.png,33.27343055170868,0.9522329
88.png,34.090475563399586,0.95582515
89.png,39.594232123529245,0.9564948
90.png,35.14936282288252,0.968324
91.png,34.71515604373073,0.9566285
92.png,32.54539114254965,0.9761741
93.png,32.16052857717034,0.97051525
94.png,33.735367771657664,0.92940664
95.png,31.779530369817323,0.86004066
96.png,35.573459460478425,0.95072985
97.png,32.952948067958786,0.9502645
98.png,37.77322562364319,0.95802194
99.png,28.926171242824054,0.956942
100.png,29.35025384834944,0.930289
