dataset,avg_psnr,avg_ssim,num_images
Rain100L,33.28268784752919,0.9454129749536514,100
Rain100H,27.449929285625345,0.8490247052907943,100
Test100,26.456271899126776,0.8435367552601561,98
Test1200,29.57527006664751,0.8645062160999005,1199
Test2800,31.20163818264705,0.9162023450859955,2800
