filename,psnr,ssim
1.png,35.3404180259772,0.9655017
2.png,35.36565666200106,0.9303546
3.png,37.12454962030145,0.9847595
4.png,37.74105848348553,0.9852907
5.png,28.137265144400377,0.901951
6.png,33.279889555834636,0.9519778
7.png,28.54130368527975,0.90426725
8.png,35.01788531161854,0.95936394
9.png,33.71067745127685,0.96559197
10.png,35.82847968889967,0.9664474
11.png,37.452142367970055,0.9647775
12.png,35.694117270135514,0.96794605
13.png,33.925041515836554,0.9563717
14.png,35.12291272404066,0.9504455
15.png,24.031857087635963,0.8623175
16.png,30.95660821889043,0.9384175
17.png,37.74009293005974,0.96528816
18.png,35.02819967103296,0.93934935
19.png,29.9477133942764,0.9370413
20.png,33.6868859239494,0.9578934
21.png,35.743597504894936,0.96931654
22.png,34.23924274112282,0.95969296
23.png,36.789483142615936,0.9707729
24.png,25.605585575122788,0.9086466
25.png,31.82226397472232,0.93613905
26.png,33.96478410846512,0.9747453
27.png,35.48149947812182,0.9617366
28.png,26.352917786531414,0.9346946
29.png,37.46596763833364,0.95849544
30.png,35.95820024532342,0.9648544
31.png,37.00215140325833,0.9780965
32.png,37.90535091447829,0.9689614
33.png,34.9421620007439,0.9610372
34.png,32.44881892589338,0.9451644
35.png,30.695363550773813,0.9197521
36.png,35.46020660924998,0.9626189
37.png,35.266499895123914,0.96727234
38.png,36.43499088598647,0.9800299
39.png,35.558021719933244,0.9726141
40.png,36.81144327332538,0.9688559
41.png,30.042271169478557,0.93858606
42.png,32.37722537324261,0.9480614
43.png,37.65289331987078,0.9658213
44.png,35.98372895027987,0.97936887
45.png,37.64676822690218,0.98304695
46.png,34.86182279973491,0.9757452
47.png,34.70484143592763,0.9571269
48.png,36.390768631677474,0.9557528
49.png,35.26819485830658,0.96300536
50.png,38.63569491594588,0.9605799
51.png,30.056555293275974,0.9459942
52.png,35.723377400860585,0.95092934
53.png,32.897873571551585,0.9439016
54.png,38.42783428724856,0.9732793
55.png,30.436042318915206,0.9557927
56.png,32.92008719285017,0.9471324
57.png,32.2983680285419,0.9530503
58.png,32.359690684329145,0.95147467
59.png,31.852846908190422,0.9644348
60.png,42.78214496661006,0.98374945
61.png,32.224642487041834,0.9382102
62.png,31.430717341523142,0.9421597
63.png,31.593029750804366,0.95605826
64.png,36.474412056036016,0.9647834
65.png,24.825588614883433,0.89007545
66.png,36.787818803641,0.9513834
67.png,34.26443588687471,0.9704979
68.png,36.11726020445247,0.96757156
69.png,36.44632419451915,0.9657118
70.png,36.02726778254376,0.96767575
71.png,33.54657771676032,0.9503787
72.png,42.190920645755895,0.9802706
73.png,33.350257772912826,0.9523144
74.png,39.097054632695674,0.98148996
75.png,32.280387575257095,0.95621306
76.png,32.0649934446122,0.9395105
77.png,35.59048383181669,0.9719839
78.png,40.284355211571416,0.9549115
79.png,38.75514421666662,0.9603793
80.png,38.46314986171098,0.9698761
81.png,37.4126664732289,0.9866366
82.png,33.735884578073716,0.9764686
83.png,37.69446518682339,0.96366745
84.png,29.00155104262067,0.93142843
85.png,34.610159434694864,0.98737526
86.png,36.12597488648624,0.9767311
87.png,33.861785696365395,0.9556067
88.png,34.73827325723147,0.9591896
89.png,40.20604471573936,0.9588671
90.png,37.00459564373149,0.97426814
91.png,36.146155495411776,0.9668603
92.png,33.77194321993094,0.9778869
93.png,33.14752598694781,0.976675
94.png,34.5192212411274,0.9456558
95.png,32.17396988865514,0.86861235
96.png,36.7127977343174,0.96191674
97.png,33.39125898450388,0.9609811
98.png,38.5778376555248,0.9639039
99.png,29.431194275196745,0.9632489
100.png,32.33919018505548,0.94921064
