dataset,avg_psnr,avg_ssim,num_images
Rain100L,34.4935765405441,0.956523305773735,100
Rain100H,27.602362228359876,0.8604393321275711,100
Test100,28.121515943648244,0.8647731378370401,98
Test1200,30.68827216314836,0.8766160258650779,1200
Test2800,31.715050012831718,0.9238913153750555,2800
