filename,psnr,ssim
1.png,31.429873841025973,0.9240265
2.png,30.469591540509725,0.7983427
3.png,23.93732006116823,0.85274357
4.png,29.9792643297381,0.9484899
5.png,29.600280590885276,0.8611129
6.png,27.675042156947526,0.8622419
7.png,23.95529055759279,0.80652064
8.png,29.572599790963345,0.8953169
9.png,24.536255499869966,0.7994621
10.png,31.752760281212765,0.93503404
11.png,29.383175506720434,0.89358443
12.png,29.29320532898471,0.8841643
13.png,33.56530405631004,0.9285951
14.png,28.841946296486007,0.86117035
15.png,36.116460554190326,0.9532649
16.png,25.02170546472754,0.85211354
17.png,29.717636221242486,0.87137413
18.png,23.731421643582557,0.8315816
19.png,22.519930749235193,0.71497375
20.png,29.570402744759264,0.8984573
21.png,27.566052177736236,0.72519857
22.png,30.00853572481725,0.89670223
23.png,27.931931537125692,0.9066897
24.png,29.626214278771403,0.91081387
25.png,30.050647083230224,0.901961
26.png,25.00001701301273,0.88991666
27.png,29.752318605214953,0.9022928
28.png,24.55986937873986,0.8900421
29.png,30.9902071700407,0.823849
30.png,30.86035502163597,0.91517955
31.png,24.10557872628557,0.7794862
32.png,31.310582929422957,0.91223174
33.png,33.75072448579091,0.9509816
34.png,29.201590596330202,0.86840534
35.png,30.6166170220391,0.896228
36.png,29.170250572567383,0.8966775
37.png,20.913939373229447,0.72953206
38.png,24.473890441225187,0.77899045
39.png,25.809432773485227,0.86829925
40.png,28.603103023184385,0.90200275
41.png,26.80131437227782,0.8901794
42.png,22.540426806935603,0.766454
43.png,29.90830138557543,0.90745854
44.png,30.513263549275006,0.9401152
45.png,27.272927149071407,0.89760953
46.png,27.126592662212744,0.91809946
47.png,30.208242079379346,0.8966856
48.png,31.15428398561964,0.89199597
49.png,27.349761000978635,0.82977813
50.png,34.40665800810491,0.92478544
51.png,26.49545263910707,0.87464005
52.png,24.90127166488458,0.7422232
53.png,23.985935025619813,0.77749085
54.png,30.541716783056078,0.91728663
55.png,19.40485681783972,0.7231408
56.png,27.046284048625825,0.8684225
57.png,27.61109713263079,0.86907035
58.png,19.98676686189831,0.66381276
59.png,20.794101356450433,0.7392053
60.png,34.43261697361515,0.9483037
61.png,26.64072154868903,0.83412033
62.png,27.319310663481616,0.8590911
63.png,26.865962673145436,0.9085606
64.png,28.10519291277748,0.9006427
65.png,24.286717111055772,0.8470194
66.png,28.179562032284394,0.831779
67.png,20.546627095645835,0.6696953
68.png,23.947259562133492,0.81839675
69.png,26.634407428219085,0.8597006
70.png,26.74700056061849,0.89379245
71.png,26.943166776844354,0.88560575
72.png,30.70850399311755,0.9215259
73.png,27.21849554376972,0.83645296
74.png,29.83497336085096,0.918679
75.png,29.378908496638143,0.9207514
76.png,32.959207564242284,0.9349487
77.png,24.12102349140128,0.82556844
78.png,27.6742407361383,0.90733606
79.png,28.54102605495146,0.85071594
80.png,30.964225177327002,0.89656407
81.png,25.392932262943035,0.89433163
82.png,23.11106114154306,0.83788913
83.png,26.986337973473127,0.8401287
84.png,28.498133348903135,0.9189405
85.png,25.902288588676754,0.9361051
86.png,27.757142729905866,0.91665226
87.png,27.182911906738386,0.87177205
88.png,30.973008170383803,0.9111907
89.png,29.213296062959067,0.9120771
90.png,21.696998549529297,0.7511876
91.png,26.47832076162642,0.8195639
92.png,22.868556308945756,0.7876298
93.png,26.29272791308027,0.89650434
94.png,27.18710113175643,0.745162
95.png,29.84715724764535,0.71194625
96.png,25.681600501264988,0.83383065
97.png,31.083970423080647,0.93400574
98.png,30.664871451046753,0.8736512
99.png,21.100563276916446,0.774203
100.png,27.247514849041117,0.85140675
