dataset,avg_psnr,avg_ssim,num_images
Rain100L,33.78503194652265,0.9524475198984146,100
Rain100H,27.575351325845617,0.8578758853673935,100
Test100,27.72355756489656,0.8570822246220647,98
Test1200,30.70529348054756,0.8776619789051552,1199
Test2800,31.5729746389112,0.9219761625145163,2800
