filename,psnr,ssim
1.png,34.5046028024171,0.9587701
2.png,34.73137952170423,0.92829496
3.png,36.3489011559233,0.9837889
4.png,36.9701919791047,0.98505276
5.png,30.89882494670283,0.93019205
6.png,32.74032382166421,0.94869065
7.png,29.766916417777125,0.91198283
8.png,33.96451853831629,0.95545214
9.png,32.406491595231145,0.96197575
10.png,35.29108956313148,0.9612944
11.png,37.37183780508354,0.96367615
12.png,32.59782344292785,0.9471097
13.png,34.03436480402583,0.9543085
14.png,36.35635965665594,0.9556715
15.png,29.42435222890335,0.9471069
16.png,29.735709062405576,0.9329298
17.png,36.19524136293051,0.96397334
18.png,35.2668865244306,0.9347968
19.png,26.65560501516527,0.9103814
20.png,33.34833124227187,0.9556577
21.png,34.59129625336332,0.9630532
22.png,30.336189223916634,0.9232059
23.png,36.338837763294755,0.96826524
24.png,25.10965628641367,0.9088351
25.png,31.13559789285577,0.9326596
26.png,32.855683153131224,0.97016686
27.png,34.59130275478061,0.95777625
28.png,23.1770222296096,0.89863926
29.png,35.199073675567696,0.93496305
30.png,34.97044677050056,0.96068
31.png,35.088059838026815,0.9786134
32.png,36.665201959878836,0.9606762
33.png,36.33535928080533,0.9673271
34.png,30.041774553208207,0.9268914
35.png,28.656845550016005,0.8975957
36.png,34.79727763614639,0.9628622
37.png,34.94547965313544,0.9642239
38.png,34.558400129961974,0.9757049
39.png,34.125350552857945,0.96703213
40.png,36.454634498209025,0.9651099
41.png,28.829504285437707,0.926707
42.png,31.927964363544362,0.94485193
43.png,36.65202362461938,0.9617062
44.png,34.81830645864552,0.9767541
45.png,36.48550588914314,0.98162323
46.png,34.241468203364136,0.97350806
47.png,34.65831527005558,0.95417184
48.png,35.62543345782445,0.9520948
49.png,33.78365075791153,0.95835274
50.png,37.77082329391553,0.9545072
51.png,29.5836881189178,0.94237727
52.png,33.480050449917556,0.9430907
53.png,31.533789570873264,0.93688387
54.png,36.44736929806684,0.9725149
55.png,30.50519162098906,0.95425457
56.png,32.60847046018543,0.9415341
57.png,31.5751480471911,0.94471073
58.png,31.4756478272827,0.94366974
59.png,31.072135155471003,0.9587312
60.png,42.265716222147006,0.9812176
61.png,31.24186357957436,0.9281545
62.png,31.328532648613546,0.9461209
63.png,32.10882076968824,0.95848316
64.png,37.70395669382504,0.9671871
65.png,23.07881333214661,0.8602154
66.png,36.67646058485054,0.9368861
67.png,30.720338123557944,0.9528615
68.png,35.35582353978047,0.96063584
69.png,36.29368968322419,0.9638169
70.png,34.86622987238286,0.9612403
71.png,32.95849624290629,0.94657713
72.png,41.29172623698946,0.9818347
73.png,32.363795208911405,0.94322735
74.png,38.581055120149514,0.97798437
75.png,32.28630529472795,0.9584361
76.png,32.40797270383623,0.9436817
77.png,33.632135594847625,0.96367645
78.png,40.41342365518641,0.9550654
79.png,37.98016491920761,0.9534955
80.png,38.36115352792921,0.9685882
81.png,35.94426125063168,0.9843325
82.png,33.417089169517475,0.9739847
83.png,38.67077397259759,0.9629665
84.png,29.18467949710799,0.92987317
85.png,34.01336141678169,0.9857271
86.png,35.1791532151488,0.97287154
87.png,34.09581725533866,0.95631105
88.png,32.277159606074775,0.94166106
89.png,39.077263405618474,0.9582896
90.png,36.278966401699314,0.9733936
91.png,35.615143038113885,0.9633723
92.png,33.41026407696396,0.97720313
93.png,33.08434360481588,0.974617
94.png,34.27395096441482,0.9348329
95.png,32.32281104346588,0.8683483
96.png,36.44775289778907,0.95761985
97.png,33.231989453050296,0.9574968
98.png,38.292694298579875,0.9593118
99.png,28.945335483657782,0.95712584
100.png,31.16618375060674,0.94859505
